"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.108895859691738,0.0602522358003551,0,"ch = 0.25",0.872,0.0149409504383088,0.954,0.00936845771725528
"2","-0.25","-0.09765625",-0.101826904529955,0.0416234523362256,0,"ch = 0.5",0.866,0.0152344346793703,0.978,0.00655987804764693
"3","-0.25","-0.09765625",-0.0860046273231933,0.0298344330938982,0,"ch = 1",0.76,0.0190997382181013,0.926,0.0117067501895274
"4","-0.25","-0.09765625",-0.0269132831476828,0.0144377735605447,1,"ch = 0.25",0.052,0.00992935043192655,0.13,0.0150399468084166
"5","-0.25","-0.09765625",-0.0263377645218606,0.0102698904508253,1,"ch = 0.5",0.02,0.00626099033699941,0.056,0.0102824121683582
"6","-0.25","-0.09765625",-0.0231658713699568,0.00759203825486093,1,"ch = 1",0.002,0.00199799899899875,0.008,0.00398396787135639
"7","0","0",-0.00528204685714992,0.0503618295406981,0,"ch = 0.25",0.792,0.0181513635851415,0.962,0.00855055553750749
"8","0","0",-4.91271547205243e-05,0.038585888284269,0,"ch = 0.5",0.816,0.0173288199251998,0.966,0.00810481338464989
"9","0","0",0.0224681997856014,0.0314400281231441,0,"ch = 1",0.71,0.0202928558857545,0.912,0.0126693330526907
"10","0","0",0.0568996407210102,0.0230911165815931,1,"ch = 0.25",0.066,0.0111035129576184,0.188,0.0174731794473702
"11","0","0",0.0595400111233011,0.0166427261632022,1,"ch = 0.5",0.038,0.00855055553750749,0.074,0.0117067501895274
"12","0","0",0.0680580032513373,0.0126830225097014,1,"ch = 1",0.018,0.005945754788082,0.042,0.00897061870775924
"13","0.25","0.31640625",0.331270867954307,0.143062316445934,0,"ch = 0.25",0.87,0.0150399468084166,0.938,0.0107848041243223
"14","0.25","0.31640625",0.325057902069077,0.10158972131411,0,"ch = 0.5",0.878,0.0146366662871024,0.964,0.0083311463797007
"15","0.25","0.31640625",0.308622362257776,0.0766841809604085,0,"ch = 1",0.848,0.0160559023415067,0.954,0.00936845771725528
"16","0.25","0.31640625",0.232876726146606,0.0755689495941704,1,"ch = 0.25",0.56,0.0221990990808186,0.748,0.0194162818273736
"17","0.25","0.31640625",0.231897370590811,0.0503198375831649,1,"ch = 0.5",0.38,0.0217071416819442,0.574,0.0221144296783797
"18","0.25","0.31640625",0.226257324314382,0.0331161030560174,1,"ch = 1",0.214,0.0183414285157945,0.368,0.0215673827804859
