"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0933522951812026,0.0717467632531122,0,"ch = 0.25",0.852,0.0158805541465026,0.95,0.00974679434480897
"2","-0.25","-0.09765625",-0.0867955010352398,0.0502517890211305,0,"ch = 0.5",0.85,0.0159687194226713,0.966,0.00810481338464989
"3","-0.25","-0.09765625",-0.0718086163183157,0.0350763939051015,0,"ch = 1",0.758,0.0191539029965174,0.938,0.0107848041243223
"4","-0.25","-0.09765625",0.00458163023648661,0.00323570941772722,1,"ch = 0.25",0,0,0.002,0.00199799899899875
"5","-0.25","-0.09765625",0.00489656406131209,0.00236904896400071,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.00630223649737342,0.00196912292065454,1,"ch = 1",0,0,0,0
"7","0","0",0.0222981233819167,0.0639094977578689,0,"ch = 0.25",0.778,0.0185858010319706,0.964,0.0083311463797007
"8","0","0",0.0269793937691744,0.047754317174117,0,"ch = 0.5",0.81,0.0175442298206561,0.976,0.00684455988358638
"9","0","0",0.0452060318182557,0.0373595940597315,0,"ch = 1",0.56,0.0221990990808186,0.868,0.0151377673386798
"10","0","0",0.0319666126297419,0.0120770909921203,1,"ch = 0.25",0.02,0.00626099033699941,0.112,0.014103616557465
"11","0","0",0.0331128064362066,0.00864740550747365,1,"ch = 0.5",0.01,0.0044497190922574,0.02,0.00626099033699941
"12","0","0",0.0360670260023425,0.00620851394002873,1,"ch = 1",0.006,0.00345369367489359,0.01,0.0044497190922574
"13","0.25","0.31640625",0.379355192810786,0.167295808174899,0,"ch = 0.25",0.924,0.0118510759005248,0.966,0.00810481338464989
"14","0.25","0.31640625",0.367875668177611,0.117695379604467,0,"ch = 0.5",0.918,0.0122699633251286,0.986,0.00525433154644813
"15","0.25","0.31640625",0.34608499086772,0.0854187909948994,0,"ch = 1",0.91,0.0127984374046209,0.992,0.0039839678713564
"16","0.25","0.31640625",0.0904902414545385,0.0316645765754987,1,"ch = 0.25",0.012,0.00486949689393062,0.048,0.00955991631762538
"17","0.25","0.31640625",0.092119920399854,0.0218522896141239,1,"ch = 0.5",0.004,0.00282276460230038,0.014,0.00525433154644813
"18","0.25","0.31640625",0.094177310586407,0.0151071253843058,1,"ch = 1",0,0,0.006,0.00345369367489359
