"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0872435115920503,0.0663477125852813,0,"ch = 0.25",0.85,0.0357071421427143,0.95,0.0217944947177034
"2","-0.25","-0.09765625",-0.0885130249668419,0.0479611715551475,0,"ch = 0.5",0.85,0.0357071421427143,0.99,0.0099498743710662
"3","-0.25","-0.09765625",-0.0718376723081354,0.0347004892176822,0,"ch = 1",0.74,0.0438634243989226,0.93,0.0255147016443461
"4","-0.25","-0.09765625",0.00444411091826423,0.00279827465129549,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.00465931899400639,0.00215480405180409,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.00597060050203687,0.00185728929807695,1,"ch = 1",0,0,0,0
"7","0","0",0.00893372830546807,0.0597605980467018,0,"ch = 0.25",0.83,0.0375632799419859,0.96,0.0195959179422654
"8","0","0",0.0238104517778861,0.0482855128030528,0,"ch = 0.5",0.88,0.0324961536185438,0.99,0.0099498743710662
"9","0","0",0.0441744916287278,0.0379128215515748,0,"ch = 1",0.58,0.0493558507170123,0.9,0.03
"10","0","0",0.0302282022235251,0.0117622206218663,1,"ch = 0.25",0.05,0.0217944947177034,0.16,0.0366606055596467
"11","0","0",0.0320073718418449,0.00859148111004485,1,"ch = 0.5",0.03,0.017058722109232,0.08,0.0271293199325011
"12","0","0",0.0350341970916374,0.00605997554214361,1,"ch = 1",0.04,0.0195959179422654,0.05,0.0217944947177034
"13","0.25","0.31640625",0.353338675455094,0.148758636333679,0,"ch = 0.25",0.9,0.03,0.97,0.017058722109232
"14","0.25","0.31640625",0.358325319463059,0.112652192390842,0,"ch = 0.5",0.91,0.0286181760425084,0.99,0.0099498743710662
"15","0.25","0.31640625",0.359190832402709,0.0939495227010101,0,"ch = 1",0.93,0.0255147016443461,0.98,0.014
"16","0.25","0.31640625",0.0890806832367309,0.0305222032795839,1,"ch = 0.25",0,0,0.03,0.017058722109232
"17","0.25","0.31640625",0.0941985172533958,0.0223745906501451,1,"ch = 0.5",0,0,0.01,0.0099498743710662
"18","0.25","0.31640625",0.0949719877909251,0.0152689165992314,1,"ch = 1",0,0,0,0
