"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0842655088970803,0.0378889074964317,0,"ch = 0.25",0.76,0.0427083130081252,0.87,0.0336303434416005
"2","-0.25","-0.09765625",-0.0804587929164785,0.0261621425553972,0,"ch = 0.5",0.7,0.0458257569495584,0.85,0.0357071421427143
"3","-0.25","-0.09765625",-0.0666758159845627,0.017726351462387,0,"ch = 1",0.39,0.0487749935930288,0.54,0.0498397431775085
"4","-0.25","-0.09765625",-0.0708348829317213,0.0257141418643299,1,"ch = 0.25",0.57,0.0495075751779463,0.69,0.0462493243193887
"5","-0.25","-0.09765625",-0.0683203646978355,0.0175443631862386,1,"ch = 0.5",0.4,0.0489897948556636,0.52,0.0499599839871872
"6","-0.25","-0.09765625",-0.0587353941970113,0.0114893487035268,1,"ch = 1",0.14,0.0346987031457949,0.28,0.0448998886412873
"7","0","0",0.00626651419284199,0.0196119316676682,0,"ch = 0.25",0.71,0.0453762052181537,0.92,0.0271293199325011
"8","0","0",0.00866915904232919,0.0164987751833739,0,"ch = 0.5",0.68,0.0466476151587624,0.9,0.03
"9","0","0",0.0245602578065218,0.0162055630709909,0,"ch = 1",0.36,0.048,0.7,0.0458257569495584
"10","0","0",0.00624240069889538,0.00967826657116383,1,"ch = 0.25",0.49,0.0499899989998,0.68,0.0466476151587624
"11","0","0",0.0117712092332465,0.0105581675458288,1,"ch = 0.5",0.45,0.049749371855331,0.74,0.0438634243989226
"12","0","0",0.0274348756847152,0.0124649707889191,1,"ch = 1",0.2,0.04,0.4,0.0489897948556636
"13","0.25","0.31640625",0.276788723612968,0.100980646507753,0,"ch = 0.25",0.83,0.0375632799419859,0.94,0.0237486841740758
"14","0.25","0.31640625",0.273727043422323,0.0692176509342896,0,"ch = 0.5",0.76,0.0427083130081252,0.9,0.03
"15","0.25","0.31640625",0.257691718275527,0.0486087331065239,0,"ch = 1",0.53,0.0499099188538711,0.79,0.0407308237088326
"16","0.25","0.31640625",0.250752630283144,0.0854415049324122,1,"ch = 0.25",0.67,0.047021271782035,0.92,0.0271293199325011
"17","0.25","0.31640625",0.247855035826054,0.0573703956385814,1,"ch = 0.5",0.55,0.049749371855331,0.76,0.0427083130081252
"18","0.25","0.31640625",0.232210954498939,0.038198060408623,1,"ch = 1",0.21,0.0407308237088326,0.38,0.0485386443980464
