"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.023197400324584,0.0129767439963544,0,"ch = 0.25",0.01,0.0099498743710662,0.05,0.0217944947177034
"2","-0.25","-0.09765625",-0.0228236845105251,0.0092806860970041,0,"ch = 0.5",0.01,0.0099498743710662,0.01,0.0099498743710662
"3","-0.25","-0.09765625",-0.0186408445931103,0.00650184270960813,0,"ch = 1",0,0,0.01,0.0099498743710662
"4","-0.25","-0.09765625",0.00444411091826423,0.00279827465129549,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.00465931899400639,0.00215480405180409,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.00597060050203687,0.00185728929807695,1,"ch = 1",0,0,0,0
"7","0","0",0.0133301715840946,0.0120234577431953,0,"ch = 0.25",0.4,0.0489897948556636,0.76,0.0427083130081252
"8","0","0",0.0164556597788185,0.0092506853170878,0,"ch = 0.5",0.3,0.0458257569495584,0.47,0.0499099188538711
"9","0","0",0.0238811346063108,0.00820410855860257,0,"ch = 1",0.17,0.0375632799419859,0.3,0.0458257569495584
"10","0","0",0.0302282022235251,0.0117622206218663,1,"ch = 0.25",0.05,0.0217944947177034,0.16,0.0366606055596467
"11","0","0",0.0320073718418449,0.00859148111004485,1,"ch = 0.5",0.03,0.017058722109232,0.08,0.0271293199325011
"12","0","0",0.0350341970916374,0.00605997554214361,1,"ch = 1",0.04,0.0195959179422654,0.05,0.0217944947177034
"13","0.25","0.31640625",0.133199360174073,0.0453610125320429,0,"ch = 0.25",0.03,0.017058722109232,0.13,0.0336303434416005
"14","0.25","0.31640625",0.134192860846409,0.0315400065244127,0,"ch = 0.5",0.01,0.0099498743710662,0.06,0.0237486841740758
"15","0.25","0.31640625",0.131154848183737,0.0215314810098357,0,"ch = 1",0,0,0,0
"16","0.25","0.31640625",0.0890806832367309,0.0305222032795839,1,"ch = 0.25",0,0,0.03,0.017058722109232
"17","0.25","0.31640625",0.0941985172533958,0.0223745906501451,1,"ch = 0.5",0,0,0.01,0.0099498743710662
"18","0.25","0.31640625",0.0949719877909251,0.0152689165992314,1,"ch = 1",0,0,0,0
