"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","-0.25","-0.09765625",0.0171345690270882,0.0069852741529032,0,"ch = 0.25",0,0,0,0
"2","-0.25","-0.09765625",0.0168746981123791,0.00483276024736485,0,"ch = 0.5",0,0,0,0
"3","-0.25","-0.09765625",0.0173260268125909,0.00340571022144867,0,"ch = 1",0,0,0,0
"4","-0.25","-0.09765625",0.0224599358073948,0.00818116932701717,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.0216386331005394,0.00557888241750066,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0213927099531551,0.00373330870480447,1,"ch = 1",0,0,0,0
"7","0","0",0.0372634400848127,0.0132274913215057,0,"ch = 0.25",0.17,0.0375632799419859,0.28,0.0448998886412873
"8","0","0",0.0355459505673255,0.00864313811156004,0,"ch = 0.5",0.14,0.0346987031457949,0.2,0.04
"9","0","0",0.0366797083636162,0.00579289859199267,0,"ch = 1",0.08,0.0271293199325011,0.15,0.0357071421427143
"10","0","0",0.0397321849364461,0.0135878624641606,1,"ch = 0.25",0.02,0.014,0.17,0.0375632799419859
"11","0","0",0.0385131958099693,0.00911490510387106,1,"ch = 0.5",0.01,0.0099498743710662,0.07,0.0255147016443462
"12","0","0",0.0388411889823625,0.00595443443050551,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.0686008275527311,0.0222364732054977,0,"ch = 0.25",0,0,0.01,0.0099498743710662
"14","0.25","0.31640625",0.0689657761442274,0.0149542314036028,0,"ch = 0.5",0,0,0,0
"15","0.25","0.31640625",0.0692104800834384,0.00975672082418907,0,"ch = 1",0,0,0,0
"16","0.25","0.31640625",0.0625959418175107,0.0207065673603815,1,"ch = 0.25",0,0,0,0
"17","0.25","0.31640625",0.0636543535043493,0.0139280243769977,1,"ch = 0.5",0,0,0,0
"18","0.25","0.31640625",0.0628164447814258,0.00891938630320414,1,"ch = 1",0,0,0,0
